ap_id,link,nome_bairro,algl,condo,m2tot,m2util,qts,suite,vagas,mini_desc,res_desc
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-rua-37-684738,"Rua 37, SUL, AGUAS CLARAS",1.6,,,33 m²,1 Quarto,1 Vaga,,APARTAMENTO ÁGUAS CLARAS ALUGUEL 1 QUARTO REAL CELEBRATION 33 M²,"Executive House aluga. Apartamento Águas Claras 1 quarto Real Celebration. Excelente unidade, com 33m2 ótima planta no d... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-noroeste-brasilia-df-clnw-10-11-lote-i-659792,"CLNW 10/11 Lote I, NOROESTE, BRASILIA",1.5,,,32 m²,1 Quarto,1 Vaga,,,CLNW 10/11 Excelente kit composto por: - armários na cozinha = cooptop -armário german duas portas - vaga de garagem ... 12/02/23
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-scrn-716-669457,"SCRN 716, ASA NORTE, BRASILIA",1.3,,,42 m²,1 Quarto,,,"ASA NORTE, SCRN 716, KIT SEMI MOBILIADA C/ 42M², 1 QUARTO + ELEVADOR. ACEITA FINANCIAMENTO!","Bordalo Imob vende ou aluga com exclusividade kit de meio, 1° andar, semi-mobiliada com 42m², 01 quarto e prédio com ele... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-taguatinga-sul-taguatinga-df-csg-3-701488,"CSG 3, TAGUATINGA SUL, TAGUATINGA",1.65,,,37 m²,1 Quarto,1 Suíte,1 Vaga,CASA MOURA ALUGA – TAGUA LIFE – APARTAMENTO 1 QUARTO,"Ótimo apartamento, condomínio diferenciado em Taguatinga, 9º andar, vista interna, com 37m² de área útil divididos em 01... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-02-bloco-j-682903,"SHN Quadra 02 Bloco J, ASA NORTE, BRASILIA",900,,,33 m²,1 Quarto,,,FLAT REFORMADO LIGUE 61 9 8275-8804,Excelente Flat mobiliado disponível no edifício Garvey Hotel. Localizado no . Mobiliado com: ar condicionado; guarda-ro... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-copaiba-1-699988,"COPAIBA 1, NORTE, AGUAS CLARAS",1.59,,,34 m²,1 Quarto,1 Suíte,1 Vaga,APARTAMENTO COMPLETO COM ARMÁRIOS.,"Procurando por um apartamento de 1 quarto para locação no DF? Venha morar no Century Plaza, um shopping que oferece tod... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-rua-25-691625,"Rua 25, SUL, AGUAS CLARAS",1.65,,,33 m²,1 Quarto,1 Suíte,1 Vaga,LOCAÇÃO APARTAMENTO 1 QUARTO SUL ÁGUAS CLARAS,"Park Style Mall & Residence R. 25 Sul - Águas Claras, Brasília – DF Lindo apartamento 1 Quarto mobiliado Nasce... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-31-518064,"Rua 31, NORTE, AGUAS CLARAS",1.35,,,33 m²,1 Quarto,1 Suíte,1 Vaga,", UNO RESIDENCE APARTAMENTO NASCENTE","Condomínio com Excelente Área de Lazer. Próximo a Hipermercados e Shoppings, Fácil Acesso a EPTG. O imóvel possui 33m² ... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-lote-4-bloco-a-689999,"CCSW 4 Lote 4 Bloco A, SUDOESTE, BRASILIA",1.2,,,30 m²,1 Quarto,,,"CCSW 04 BLOCO A - KITNET MOBILIADA PARA LOCAÇÃO, EDIFÍCIO TOP MASTER, SUDOESTE - DF","CCSW 04 Bloco A - Edifício Top Master - Sudoeste, Brasília/DF Alugue este imóvel com seu cartão de crédito pela CredPag... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-4-700385,"Rua 4, NORTE, AGUAS CLARAS",1.7,,,44 m²,1 Quarto,1 Suíte,1 Vaga,MICHIGAN ÁGUAS CLARAS ALUGUEL APARTAMENTO 1 QUARTO LAZER COMPLETO,"Michigan Águas Claras Apartamento novo de 1 Quarto sendo semi suíte com armários Metragem privativa de 44,49 m². Uma vag... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-quadra-205-611880,"Quadra 205, SUL, AGUAS CLARAS",1.4,,,35 m²,1 Quarto,1 Suíte,1 Vaga,LOCAÇÃO APARTAMENTO 1 QUARTO SUL ÁGUAS CLARAS,"Paço Linea Residence & Mall Quadra 205, Blvd. Sul, Águas Claras, Brasília - DF Apto mobiliado com 30,50m²;. - Co... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-guara-ii-guara-df-qe-28-bloco-a-297487,"QE 28 Bloco A, GUARA II, GUARA",650,,,30 m²,1 Quarto,,,EXCELENTE LOCALIZAÇÃO,"A Trato Feito Imóveis está alugando uma kitnete na QE 28 do Guará II, A unidade é kitnet ou seja um vão com pia e banhei... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-das-paineiras-56294,"Rua Das Paineiras, NORTE, AGUAS CLARAS",1.2,,,31 m²,1 Quarto,1 Vaga,,", COSMOPOLITAN","Aluguel de apartamentos de 1 quarto R$ 1.200,00 todos com armários planejados em MDF , box e espelho. CONDOMÍNIO 1 QTO... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-rua-copaiba-647339,"Rua COPAIBA, SUL, AGUAS CLARAS",1.28,,,33 m²,1 Quarto,1 Vaga,,RUA COPAÍBA - APARTAMENTO DE 1 QUARTO COM VARADA PARA LOCAÇÃO - DF PLAZA - ÁGUA CLARAS - DF.,Rua Copaíba - DF Plaza - Águas Claras - DF Alugue esse imóvel com seu cartão de crédito pela CredPago A Coemi imóveis ... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-samambaia-norte-samambaia-df-qn-410-conjunto-c-684451,"QN 410 Conjunto C, SAMAMBAIA NORTE, SAMAMBAIA",1.15,,,33 m²,1 Quarto,,,,"Alugo apartamento na QN 410, Samambaia Sul, Edificio Manuela Aguiar. Prédio novo, primeira locação, com elevador, apart... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-quadra-208-702887,"Quadra 208, SUL, AGUAS CLARAS",1.2,,,36 m²,1 Quarto,1 Suíte,1 Vaga,ALUGUEL - COSTA VERDE - APARTAMENTO - 01 SUÍTE - ÁGUAS CLARAS,Fernandes & Coelho Imóveis aluga apartamento de 36m² no Residencial Costa Verde em Águas Claras. O apartamento é compost... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-avenida-parque-aguas-claras-705326,"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",1.45,,,30 m²,1 Quarto,1 Suíte,1 Vaga,", EDIFÍCIO MADISON ÓTIMO APARTAMENTO NASCENTE.","ÓTIMO APARTAMENTO NASCENTE. Sendo no 5° andar, o imóvel possui excelente localização. Apartamento composto por sala com... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-309368,"CA 02, LAGO NORTE, BRASILIA",1.2,,,30 m²,1 Quarto,,,"CA 02 - APARTAMENTO MOBILIADO, NASCENTE, VISTA LIVRE. ED. MAISON DO LAGO","CA 02 Bloco E Apto 110 Residencial que engloba em um único lugar: Segurança, conforto, comodidade e belíssima localizaç... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-octogonal-brasilia-df-area-especial-6-8-694697,"Área Especial 6/8, OCTOGONAL, BRASILIA",1.5,,,38 m²,1 Quarto,1 Suíte,,,"APARTAMENTO COM 01 QUARTO COM ARMÁRIO, COZINHA COM ARMÁRIO, BANHEIRO COM ARMÁRIO E BOX, SACADA E ÁREA DE SERVIÇO EXCEL... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-nucleo-bandeirante-nucleo-bandeirante-df-terceira-avenida-blocos-990a-1120b-256841,"Terceira Avenida Blocos 990A/1120B, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",350,,,30 m²,1 Quarto,,,"KITNET PARA LOCAÇÃO EM BRASÍLIA, NÚCLEO BANDEIRANTE, 1 DORMITÓRIO, 1 BANHEIRO",ENDEREÇO: 3A AVENIDA LOTE 1010 A KIT 03 - NÚCLEO BANDEIRANTE - DF UMA SALA COM BANHEIRO SOCIAL. CONVICTA IMÓVEIS LTDA. ... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-taguatinga-norte-taguatinga-df-cnf-3-692416,"CNF 3, TAGUATINGA NORTE, TAGUATINGA",800,,,45 m²,1 Quarto,,,,SOTERRA IMOBILIÁRIA DISPONIBILIZA PARA LOCAÇÃO EXCELENTE APARTAMENTO EM TAGUATINGA NORTE NA CNF 03: IMÓVEL BEM LOCALIZ... 12/02/23
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-norte-aguas-claras-df-rua-26-483243,"Rua 26, NORTE, AGUAS CLARAS",750,,,35 m²,1 Quarto,,,ED. MIRANTE DO PARQUE - AO LADO DO PARQUE AGUAS CLARAS,"Excelente Kit com sala, quarto, cozinha americana e banheiro, ao lado do Parque de Águas Claras. Edifício com portaria.... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-riacho-fundo-riacho-fundo-df-cln-5-bloco-a-703703,"CLN 5 Bloco A, RIACHO FUNDO, RIACHO FUNDO",1.3,,,31 m²,1 Quarto,1 Vaga,,,"CLN 05 BLOCO A RIACHO FUNDO 01 RESIDENCIAL LIBERTA Alugo Excelente Apartamento Bem arejado e Ventilado, de frente, 1 qu... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-408-bloco-b-186448,"CLN 408 Bloco B, ASA NORTE, BRASILIA",1,,,30 m²,1 Quarto,,,VENHA RESIDIR NA ASA NORTE NA QUADRA SCLN 408 BLOCO B ENTRADA 50!,Venha residir na ASA NORTE na Quadra SCLN 408 BLOCO B ENTRADA 50! - KITINETE no 1° andar; - Aproximadamente 32 m²; - Q... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-vicente-pires-vicente-pires-df-rua-12-chacara-307-581724,"Rua 12 Chacará 307, VICENTE PIRES, VICENTE PIRES",1.35,,,42 m²,1 Quarto,1 Vaga,,APARTAMENTO - VICENTE PIRES,"ALUGUEL APARTAMENTO - VICENTE PIRES Excelente apartamento com 01 quarto com armário, banheiro social, cozinha americana... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-05-692671,"CA 05, LAGO NORTE, BRASILIA",1.2,,,36 m²,1 Quarto,,,"APARTAMENTO COM 1 DORMITÓRIO PARA ALUGAR, 36 M² POR R$ 1.200,00/MÊS - LAGO NORTE - BRASÍLIA/DF","Excelente apartamento Ed. Oasis; - Quarto - Sala - Cozinha - Banheiro com Box - Área de Serviço CONDOMÍNIO: R$ 220,00 ... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-riacho-fundo-ii-riacho-fundo-df-qn-14b-conjunto-5-259281,"QN 14B Conjunto 5, RIACHO FUNDO II, RIACHO FUNDO",650,,,30 m²,1 Quarto,,,LOTE 20 APT 301 FUNDOS,"APARTAMENTO COM 01 QUARTO, COZINHA, BANHEIRO E ÁREA DE SERVIÇO. - PINTURA NOVA, PISO CERÂMICA. Valor do aluguel com de... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-guara-ii-guara-df-area-especial-02-a-modulo-g-519831,"Área Especial 02 A Módulo G, GUARA II, GUARA",900,,,50 m²,1 Quarto,1 Suíte,,1 QUARTO · SETOR DE OFICINAS · GUARÁ II,"1 Quarto - Setor de Oficinas Guará II 1 quarto com armário, banheiro social, cozinha americana e varanda. Marque sua vis... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-guara-ii-guara-df-qe-40-414198,"QE 40, GUARA II, GUARA",830,,,40 m²,1 Quarto,,,,EXECUTIVA IMOVEIS ALUGA: APARTAMENTO NA QE 40 CONJUNTO Q GUARÁ II QE 40 CONJUNTO Q LOTE 12 APTO 104 GUARÁ II) APARTAM... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-vicente-pires-vicente-pires-df-rua-4a-180678,"Rua 4A, VICENTE PIRES, VICENTE PIRES",1,,,30 m²,1 Quarto,,,RESIDENCIAL IMPERIUM!,"APARTAMENTO SEMI MOBILIADO!! SEM GARAGEM!!! SEM FIADOR!!! * 01 QUARTO COM ARMÁRIO; * SALA DE TV, COM RACK; * COZINHA,... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-05-bloco-i-209394,"SHN Quadra 05 Bloco I, ASA NORTE, BRASILIA",800,,,32 m²,1 Quarto,,,APT NO BRASILIA FLAT,Flat com 32m2 mobiliado no padrão pool. Andar alto. Vista livre Localizado no centro de Brasília a apenas 400m do Brasi... 12/02/23
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-scrn-710-711-700617,"SCRN 710/711, ASA NORTE, BRASILIA",1.2,,,40 m²,1 Quarto,,,,"Excelente Kit mobiliada, porcelanato no piso, com cozinha americana, bem servida de armários, forno elétrico e fogão coo... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-ceilandia-sul-ceilandia-df-qnn-24-conjunto-p-240385,"QNN 24 Conjunto P, CEILANDIA SUL, CEILANDIA",700,,,30 m²,1 Quarto,1 Vaga,,QNN 24 CONJUNTO P LOTE 44 KIT 01 (TÉRREO),- SALA/COZINHA - QUARTO - 01 BANHEIRO SOCIAL - VARANDA - 01 VAGA DE GARAGEM   AGUA DIVIDIDA E LUZ INDIVIDUAL ... 12/02/23
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-nucleo-bandeirante-nucleo-bandeirante-df-segunda-avenida-blocos-227a-359a-681687,"SEGUNDA AVENIDA Blocos 227A/359A, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",600,,,35 m²,1 Quarto,,,,"EDIFICIO VITOR SEGUNDA AVENIDA BLOCOS 227/395-A NÚCLEO BANDEIRANTE Alugo apartamento, com 01 Quarto, Sala, Cozinha. Pró... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-taguatinga-norte-taguatinga-df-qnm-38-conjunto-s-639286,"QNM 38 Conjunto S, TAGUATINGA NORTE, TAGUATINGA",500,,,40 m²,1 Quarto,,,"QNM 38 CONJUNTO S - KITNET COM 1 DORMITÓRIO PARA ALUGAR, 40 M² POR R$ 500/MÊS - TAGUATINGA NORTE - T","QNM 38 Conjunto S - Kitnet com 1 dormitório para alugar, 40 m² por R$ 500/mês - Taguatinga Norte - Taguatinga/DF Kitnet... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-samambaia-sul-samambaia-df-qn-122-271004,"QN 122, SAMAMBAIA SUL, SAMAMBAIA",800,,,45 m²,1 Quarto,,,AP10785 - QN 122 COM 1 QUARTO 45M². AGENDE SUA VISITA!,"AP10785 - Qn 122 com 1 quarto 45m². Agende sua visita! Apartamento composto por sala conjugada com cozinha, quarto e ba... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-condominio-prive-lucena-roriz-ceilandia-df-rua-7-modulo-9-192526,"Rua 7 Módulo 9, CONDOMINIO PRIVE LUCENA RORIZ, CEILANDIA",400,,,30 m²,1 Quarto,,,"ALUGA-SE APARTAMENTO COM 1 QUARTO À PARTIR DE R$ 400,00 EM CEILÂNDIA NORTE","ENDEREÇO: Condomínio Privê - Rua 7 Módulo 9 Lote 01E Apartamento de fundos com: Sala, Quarto, Cozinha conjugada com Ár... 12/02/23"
,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-lote-9-651806,"QMSW 5 Lote 9, SUDOESTE, BRASILIA",1.4,,,30 m²,1 Quarto,1 Vaga,,QMSW 05 LOTE 09 ED. ESPAÇO VIENNA- EXCELENTE KIT COM ARMÁRIOS - SUDOESTE,"Alugue sem Fiador, sem burocracia e sem taxa de adesão, pagando apenas 10% do valor do aluguel mensal. Aprovação media... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-nucleo-bandeirante-nucleo-bandeirante-df-sopi-conjunto-c-248772,"SOPI Conjunto C, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",700,,,30 m²,1 Quarto,,,LOTE 23 SOPI CONJ C,"Excelente imóvel, localizado no Setor de Oficinas do Núcleo Bandeirante (atrás do Corpo de Bombeiros). Composto por 01 q... 12/02/23"
,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-velho-cruzeiro-df-sres-quadra-2-area-especial-s-n-655945,"SRES Quadra 2 Área Especial S/N, VELHO, CRUZEIRO",1.05,,,33 m²,1 Quarto,1 Vaga,,LOCAÇÃO KITCHENETTE CRUZEIRO VELHO CRUZEIRO,"Edifício Piazza Navona 100% revestido, guarita com portaria 24 horas, circuito interno de camêras e elevadores. IMÓVEL... 12/02/23"
